,artist_name,song_name
0,Cyndi Lauper,Into The Nightlife
1,Matthew Wilder,Break My Stride
2,Tesla,Caught In A Dream
3,Brian Wilson,Keep An Eye On Summer (Album Version)
4,Old Man River,Summer
5,Tracy Chapman,Fast Car (LP Version)
6,Chris Rea,Driving Home For Christmas
7,Hank Williams Jr.,Tuesday's Gone (Remastered Album Version)
8,Tokio Hotel,1000 Meere
9,Black Eyed Peas,Let's Get It Started
10,Calle Kristiansson,Hungry Heart
11,LITTLE TEXAS,My Love (Album Version)
12,Julien Clerc,This Melody (Live)
13,The Hollies,Stop Stop Stop (1999 Digital Remaster)
14,Nelson Ned,Brasas Vivas
15,Arisen Flame,Income
16,Doves,Jetstream (Sasha Subdub)
17,Space DJZ,Force Majeure
18,Sonny fodera,Changes feat Adaja Black (Original Mix)
19,Marilyn Monroe,I Wanna Be Loved By You
20,Brazilian Tropical Orchestra,One Less Bell To Answer
21,The Verve,Bitter Sweet Symphony
22,Gary Smith,It's Your Store
23,Saeed Younan,Yeah Ha
24,Nine Inch Nails,The Frail
25,Abba,The Name Of The Game
26,Queen + Paul Rodgers,We Are The Champions (Live In Ukraine)
27,2 Fabiola,Magic Flight
28,The B-52's,Wig
29,Chris Brown,Forever
30,David Bowie,Life On Mars? (1990 Digital Remaster)
31,Nat King Cole,When I Fall In Love
32,Orbital,Illuminate
33,Virginia Jetzt!,Hier Zu Sein
34,Philadelphia Orchestra_ Eugene Ormandy,The Nutcracker Suite: March
35,Ace Cannon,Rockin Robin
36,Jocelyn Pook,Sleigh Ride
37,Harold Faltermeyer,Axel F
38,Steps,I Know Him So Well
39,Gerry Rafferty,Baker Street (Edit)
40,DMX / Sisqo,What These Bitches Want
41,The Shirelles,Will You Love Me Tomorrow
42,The Jacksons,Rock With You
43,Lionel Rogg,Prelude And Fugue In C Major BWV 531 : Fugue
44,Huey Lewis & The News,I Want A New Drug
45,Westlife,When You're Looking Like That
46,Backstreet Boys,Larger Than Life
47,Richard Clayderman,All By Myself
48,Barry White,Can't Get Enough Of Your Love Babe
49,Tina Turner,We Don't Need Another Hero (Thunderdome)
50,Percy Sledge,When A Man Loves A Woman
51,Kenny Rogers And Sheena Easton,We've Got Tonight
52,Vince Guaraldi Trio,The Christmas Song
53,The Cootees,I'm OK_ You're OK
54,Nek,Dime porqué
55,Lily Allen,Smile (Radio Edit)
56,Maria-Joao Pires,Waltz No.12 in F minor Op.70 No.2
57,Chris Rea,The Blue Cafe
58,Samantha Fox,Touch Me (I Want Your Body) ?09
59,Sviatoslav Richter (piano),F.Chopin:Prelude_ Op.28. ?13 (C sharp major)
60,Tomcraft,Overdose (Killa Vocal Mix)
61,Christina Aguilera,Pero Me Acuerdo De Tí
62,Olivia Newton-John,When You Believe
63,Gloria Gaynor,I Want To Know What Love Is
64,Creedence Clearwater Revived,Have You Ever Seen The Rain
65,The Police,When The World Is Running Down_ You Make The Best Of What's Still Around
66,Plastic Bertrand,Coeur d'acier
67,Culture Club,Do You Really Want To Hurt Me (Live)
68,James & Bobby Purify,Let Love Come Between Us
69,Mad Professor,Schizophrenic Dub
70,Kasia Stankiewicz,Zolte Slonie
71,Whitney Houston,Didn't We Almost Have It All
72,Alex M.O.R.P.H,Walk the Edge
73,Glenn Mercer,Two Rights
74,Collective Soul,Fuzzy
75,Selena,Como La Flor (2005 Re-mastering) (Live)
76,Boston,A Man I'll Never Be
77,Georgie Fame & The Blue Flames,Green Onions
78,John Denver,Calypso
79,Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05)
