,cluster,file_path
0,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/A/TRAAAGR128F425B14B.h5
1,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/A/TRAAAZF12903CCCF6B.h5
2,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/B/TRAABVM128F92CA9DC.h5
3,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/B/TRAABXH128F42955D6.h5
4,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/C/TRAACQE12903CC706C.h5
5,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/D/TRAADKW128E079503A.h5
6,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/E/TRAAEEH128E0795DFE.h5
7,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/E/TRAAEJH128E0785506.h5
8,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/F/TRAAFMT128F429DB58.h5
9,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/G/TRAAGCZ128F93210FD.h5
10,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/G/TRAAGKR12903CFC1E5.h5
11,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/G/TRAAGMC128F4292D0F.h5
12,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/G/TRAAGMJ12903CAD7D4.h5
13,2.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/H/TRAAHOQ12903CC6A5A.h5
14,0.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/J/TRAAJSX128F4275A1D.h5
15,1.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/K/TRAAKDJ12903D09573.h5
16,1.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/K/TRAAKLG128F93453BB.h5
17,1.0,/Users/shiluyuan/Downloads/bigdataproject/musicdata/A/A/K/TRAAKMU128F9355D15.h5
